Coringa: Delírio a Dois,2024,5.5/10,"Arthur Fleck is institutionalized at Arkham, awaiting trial for his crimes as Joker. While struggling with his dual identity, Arthur not only stumbles upon true love, but also finds the musi... Read all"
Megalópolis,2024,5.1/10,"The city of New Rome hosts the conflict between Cesar Catilina, a brilliant artist in favor of a utopian future, and the greedy mayor Franklyn Cicero. Between them is Julia Cicero, her loyal... Read all"
A Substância,2024,7.9/10,"A fading celebrity decides to use a black-market drug, a cell-replicating substance that temporarily creates a younger, better version of herself."
Não Fale o Mal,2024,7.0/10,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them."
Os Fantasmas Ainda se Divertem - Beetlejuice Beetlejuice,2024,7.0/10,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid,... Read all"
Divertida Mente 2,2024,7.7/10,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to th... Read all"
Lobos,2024,6.5/10,"Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances ... Read all"
Transformers: O Início,2024,7.8/10,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever."
Pisque Duas Vezes,2024,6.6/10,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange thin... Read all"
Feios,2024,4.7/10,A world in which a compulsory operation wipes out physical differences and makes everyone pretty.
Robô Selvagem,2024,8.5/10,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby ... Read all"
As Três Filhas,2023,7.2/10,"This tense, touching and funny portrait of family dynamics follows three estranged sisters as they converge in a New York apartment to care for their ailing father and try to mend their own ... Read all"
Rebel Ridge,2024,6.9/10,A former Marine grapples his way through a web of small-town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief.
Batman,2022,7.8/10,"When a sadistic serial killer begins murdering key political figures in Gotham, The Batman is forced to investigate the city's hidden corruption and question his family's involvement."
Deadpool & Wolverine,2024,7.9/10,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction."
Os Fantasmas se Divertem,1988,7.5/10,"The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out."
É Assim que Acaba,2024,6.6/10,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to mak... Read all"
Guerra Civil,2024,7.0/10,"A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House."
Calor Mortífero,2024,5.6/10,"Follows twin brothers who find themselves in a dangerous love triangle on an isolated Greek island. The investigation is given to ""The Jealousy Man,"" a wounded detective."
Longlegs - Vínculo Mortal,2024,6.7/10,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree."
Am I Racist?,2024,7.3/10,"A man investigates diversity, equity and inclusion practices, exposing absurdities through undercover social experiments."
Alien: Romulus,2024,7.4/10,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe."
Megalópolis,2024,5.1/10,"The city of New Rome hosts the conflict between Cesar Catilina, a brilliant artist in favor of a utopian future, and the greedy mayor Franklyn Cicero. Between them is Julia Cicero, her loyal... Read all"
Os Fantasmas Ainda se Divertem - Beetlejuice Beetlejuice,2024,7.0/10,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid,... Read all"
A Substância,2024,7.9/10,"A fading celebrity decides to use a black-market drug, a cell-replicating substance that temporarily creates a younger, better version of herself."
